"filename", "language", "TypeScript React", "TypeScript", "Less", "XML", "CSS", "JSON", "JSON with Comments", "JavaScript", "Markdown", "HTML", "comment", "blank", "total"
"/Users/aic/Desktop/zen-blog/src/components/HomePage/WorkContainer/pages/UserFeedback/UserFeedback.less", "Less", 0, 0, 279, 0, 0, 0, 0, 0, 0, 0, 9, 39, 327
"/Users/aic/Desktop/zen-blog/src/components/HomePage/WorkContainer/pages/UserFeedback/UserFeedback.tsx", "TypeScript React", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19, 82
"/Users/aic/Desktop/zen-blog/src/components/HomePage/WorkContainer/pages/UserTypeInfo/UserTypeInfo.less", "Less", 0, 0, 227, 0, 0, 0, 0, 0, 0, 0, 8, 39, 274
"/Users/aic/Desktop/zen-blog/src/components/HomePage/WorkContainer/pages/UserTypeInfo/UserTypeInfo.tsx", "TypeScript React", 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 23, 206
"/Users/aic/Desktop/zen-blog/src/components/HomePage/WorkContainer/pages/UxStategy/UxStategy.less", "Less", 0, 0, 147, 0, 0, 0, 0, 0, 0, 0, 2, 22, 171
"/Users/aic/Desktop/zen-blog/src/components/HomePage/WorkContainer/pages/UxStategy/UxStategy.tsx", "TypeScript React", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 95
"/Users/aic/Desktop/zen-blog/src/components/HomePage/WorkContainer/pages/readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"/Users/aic/Desktop/zen-blog/src/components/Mouse/MouseDot.less", "Less", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 6, 9, 61
"/Users/aic/Desktop/zen-blog/src/components/Mouse/MouseDot.tsx", "TypeScript React", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 44
"/Users/aic/Desktop/zen-blog/src/components/Mouse/useMouseContext.tsx", "TypeScript React", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 19, 59
"/Users/aic/Desktop/zen-blog/src/components/NotFound/NotFound.tsx", "TypeScript React", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/Users/aic/Desktop/zen-blog/src/design/color/Global.less", "Less", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 2, 13
"/Users/aic/Desktop/zen-blog/src/hooks/getMousePosition.tsx", "TypeScript React", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 25, 75
"/Users/aic/Desktop/zen-blog/src/index.css", "CSS", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 3, 10, 73
"/Users/aic/Desktop/zen-blog/src/main.tsx", "TypeScript React", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 25
"/Users/aic/Desktop/zen-blog/src/router/index.tsx", "TypeScript React", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 48
"/Users/aic/Desktop/zen-blog/src/store/index.tsx", "TypeScript React", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11, 31
"/Users/aic/Desktop/zen-blog/src/store/reducers/bannerDots.tsx", "TypeScript React", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 39
"/Users/aic/Desktop/zen-blog/src/store/reducers/index.tsx", "TypeScript React", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 10
"/Users/aic/Desktop/zen-blog/src/store/reducers/inspireNavs.tsx", "TypeScript React", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 34
"/Users/aic/Desktop/zen-blog/src/store/reducers/tabs.tsx", "TypeScript React", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 51
"/Users/aic/Desktop/zen-blog/src/types/global.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 9, 13, 67
"/Users/aic/Desktop/zen-blog/src/types/vanta.birds.min.d.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 9
"/Users/aic/Desktop/zen-blog/src/utils/Tabcontext.tsx", "TypeScript React", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 18
"/Users/aic/Desktop/zen-blog/src/utils/Trottle.tsx", "TypeScript React", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 19
"/Users/aic/Desktop/zen-blog/src/utils/useEleOnScreen.tsx", "TypeScript React", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 43
"/Users/aic/Desktop/zen-blog/src/vite-env.d.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 11
"/Users/aic/Desktop/zen-blog/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 1, 23
"/Users/aic/Desktop/zen-blog/tsconfig.node.json", "JSON", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"/Users/aic/Desktop/zen-blog/vercel.json", "JSON", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/aic/Desktop/zen-blog/vite.config.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 21
"Total", "-", 2236, 70, 5507, 516, 60, 28461, 22, 1372, 4, 13, 1166, 1770, 41197
